2022-03-24 22:18:44 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2022-03-24 22:18:44 install libxcb-dri2-0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-dri2-0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-dri2-0:amd64 1.14-2
2022-03-24 22:18:44 install libxcb-dri3-0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-dri3-0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-dri3-0:amd64 1.14-2
2022-03-24 22:18:44 install libxcb-glx0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-glx0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-glx0:amd64 1.14-2
2022-03-24 22:18:44 install libxcb-present0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-present0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-present0:amd64 1.14-2
2022-03-24 22:18:44 install libxcb-shm0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-shm0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-shm0:amd64 1.14-2
2022-03-24 22:18:44 install libxcb-sync1:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-sync1:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-sync1:amd64 1.14-2
2022-03-24 22:18:44 install libxcb-xfixes0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-xfixes0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-xfixes0:amd64 1.14-2
2022-03-24 22:18:44 install libxfixes3:amd64 <none> 1:5.0.3-2
2022-03-24 22:18:44 status half-installed libxfixes3:amd64 1:5.0.3-2
2022-03-24 22:18:44 status unpacked libxfixes3:amd64 1:5.0.3-2
2022-03-24 22:18:44 install libxshmfence1:amd64 <none> 1.3-1
2022-03-24 22:18:44 status half-installed libxshmfence1:amd64 1.3-1
2022-03-24 22:18:44 status unpacked libxshmfence1:amd64 1.3-1
2022-03-24 22:18:44 install libxxf86vm1:amd64 <none> 1:1.1.4-1build1
2022-03-24 22:18:44 status half-installed libxxf86vm1:amd64 1:1.1.4-1build1
2022-03-24 22:18:44 status unpacked libxxf86vm1:amd64 1:1.1.4-1build1
2022-03-24 22:18:44 install libglx-mesa0:amd64 <none> 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:44 status half-installed libglx-mesa0:amd64 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:44 status unpacked libglx-mesa0:amd64 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:44 install x11-common:all <none> 1:7.7+19ubuntu14
2022-03-24 22:18:44 status half-installed x11-common:all 1:7.7+19ubuntu14
2022-03-24 22:18:44 status triggers-pending systemd:amd64 245.4-4ubuntu3.15
2022-03-24 22:18:44 status unpacked x11-common:all 1:7.7+19ubuntu14
2022-03-24 22:18:44 install libice6:amd64 <none> 2:1.0.10-0ubuntu1
2022-03-24 22:18:44 status half-installed libice6:amd64 2:1.0.10-0ubuntu1
2022-03-24 22:18:44 status unpacked libice6:amd64 2:1.0.10-0ubuntu1
2022-03-24 22:18:44 install libvorbisenc2:amd64 <none> 1.3.6-2ubuntu1
2022-03-24 22:18:44 status half-installed libvorbisenc2:amd64 1.3.6-2ubuntu1
2022-03-24 22:18:44 status unpacked libvorbisenc2:amd64 1.3.6-2ubuntu1
2022-03-24 22:18:44 install libsndfile1:amd64 <none> 1.0.28-7ubuntu0.1
2022-03-24 22:18:44 status half-installed libsndfile1:amd64 1.0.28-7ubuntu0.1
2022-03-24 22:18:44 status unpacked libsndfile1:amd64 1.0.28-7ubuntu0.1
2022-03-24 22:18:44 install libpulse0:amd64 <none> 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:44 status half-installed libpulse0:amd64 1:13.99.1-1ubuntu3.13
